jv_spec_mie.dat: Aerosol optical properties at 5 wavelengths (clh, 01/30/10), Update sulfate, OC (dar, rvm, 9/13), Add BrC (mh, 6/25/15)
================================================================================
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
W(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
21 Mdust 4.0 = mineral dust (R.V.Martin)
  200  2.1045  3.721  0.582 1.000 2.769 4.422 5.990 7.568 9.129 10.687 12.200
  300  2.1045  3.721  0.582 1.000 2.769 4.422 5.990 7.568 9.129 10.687 12.200
  400  2.1191  3.721  0.742 1.000 2.580 3.887 4.812 6.027 7.005  8.295  9.268
  600  2.2094  3.721  0.925 1.000 2.402 3.575 4.016 5.102 5.567  6.724  7.229
  999  2.3429  3.721  0.956 1.000 2.358 3.499 3.877 4.861 5.221  6.222  6.690
22 S00(dar) Trop sulphate, RH=00 (n@550=1.53-0.01i log-norm: r=.07um/sigma=1.6)
  200  2.3328  0.121  0.9594  1.000 2.037 2.266 1.874 1.416 0.975 0.655 0.418
  300  2.3328  0.121  0.9594  1.000 2.037 2.266 1.874 1.416 0.975 0.655 0.418
  400  1.6118  0.121  0.9741  1.000 1.927 1.961 1.452 0.975 0.589 0.354 0.197
  600  0.7484  0.121  0.9625  1.000 1.675 1.485 0.882 0.484 0.234 0.118 0.053
 1000  0.2108  0.121  0.8417  1.000 1.183 0.959 0.382 0.145 0.049 0.019 0.006
23 S50(dar) Trop sulphate, RH=50 (n@550=1.44 0.00i log-norm: r=.09um/sigma=1.6)
  200  2.4175  0.149  0.9752  1.000 2.203 2.666 2.437 2.034 1.557 1.142 0.818
  300  2.4175  0.149  0.9752  1.000 2.203 2.666 2.437 2.034 1.557 1.142 0.818
  400  1.7099  0.149  0.9844  1.000 2.118 2.386 1.999 1.513 1.041 0.692 0.443
  600  0.8352  0.149  0.9776  1.000 1.888 1.864 1.299 0.824 0.468 0.265 0.141
 1000  0.2488  0.149  0.9056  1.000 1.405 1.196 0.592 0.272 0.113 0.049 0.020
24 S70(dar) Trop sulphate, RH=70 (n@550=1.41 0.00i log-norm: r=.09um/sigma=1.6)
  200  2.4852  0.162  0.9797  1.000 2.251 2.796 2.638 2.274 1.802 1.366 1.012
  300  2.4852  0.162  0.9797  1.000 2.251 2.796 2.638 2.274 1.802 1.366 1.012
  400  1.7947  0.162  0.9875  1.000 2.177 2.533 2.209 1.739 1.248 0.862 0.574
  600  0.8963  0.162  0.9822  1.000 1.966 2.016 1.483 0.988 0.593 0.350 0.197
 1000  0.2751  0.162  0.9261  1.000 1.498 1.307 0.697 0.343 0.152 0.070 0.030
25 S80(dar) Trop sulphate, RH=80 (n@550=1.40 0.00i log-norm: r=.10um/sigma=1.6)
  200  2.5571  0.174  0.9830  1.000 2.284 2.891 2.789 2.464 2.004 1.558 1.186
  300  2.5571  0.174  0.9830  1.000 2.284 2.891 2.789 2.464 2.004 1.558 1.186
  400  1.8800  0.174  0.9896  1.000 2.222 2.648 2.381 1.932 1.433 1.019 0.701
  600  0.9653  0.174  0.9855  1.000 2.026 2.140 1.642 1.137 0.711 0.435 0.255
 1000  0.3040  0.174  0.9408  1.000 1.577 1.407 0.795 0.413 0.193 0.093 0.042
26 S90(dar) Trop sulphate, RH=90 (n@550=1.38 0.00i log-norm: r=.11um/sigma=1.6)
  200  2.6967  0.198  0.9875  1.000 2.330 3.033 3.029 2.779 2.356 1.910 1.519
  300  2.6967  0.198  0.9875  1.000 2.330 3.033 3.029 2.779 2.356 1.910 1.519
  400  2.0587  0.198  0.9927  1.000 2.291 2.836 2.675 2.280 1.782 1.332 0.965
  600  1.1172  0.198  0.9901  1.000 2.125 2.359 1.937 1.431 0.958 0.623 0.388
 1000  0.3730  0.198  0.9613  1.000 1.716 1.601 0.996 0.566 0.290 0.150 0.074
27 S95(dar) Trop sulphate, RH=95 (n@550=1.36 0.00i log-norm: r=.13um/sigma=1.6)
  200  2.8355  0.227  0.9909  1.000 2.362 3.148 3.234 3.069 2.701 2.278 1.889
  300  2.8355  0.227  0.9909  1.000 2.362 3.148 3.234 3.069 2.701 2.278 1.889
  400  2.2825  0.227  0.9949  1.000 2.344 2.999 2.947 2.625 2.152 1.684 1.281
  600  1.3212  0.227  0.9935  1.000 2.213 2.576 2.251 1.767 1.262 0.869 0.575
 1000  0.4720  0.227  0.9759  1.000 1.855 1.821 1.243 0.769 0.430 0.239 0.127
28 S99(dar) Trop sulphate, RH=99 (n@550=1.34 0.00i log-norm: r=.18um/sigma=1.6)
  200  2.9980  0.304  0.9952  1.000 2.380 3.282 3.494 3.502 3.280 2.972 2.662
  300  2.9980  0.304  0.9952  1.000 2.380 3.282 3.494 3.502 3.280 2.972 2.662
  400  2.7329  0.304  0.9976  1.000 2.409 3.240 3.385 3.239 2.877 2.444 2.031
  600  1.8669  0.304  0.9974  1.000 2.351 2.966 2.873 2.503 2.002 1.530 1.130
 1000  0.7986  0.304  0.9914  1.000 2.104 2.302 1.850 1.336 0.875 0.558 0.342
29 BC00(rvm) Black C, RH=00 (n@550=1.75-.44i log-norm: r_g=.02um/sigma=1.6)
  200  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  300  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  400  0.6229  0.035  0.1935  1.000 0.742 0.658 0.167 0.042 0.010 0.002 0.001
  600  0.3282  0.035  0.1005  1.000 0.457 0.561 0.083 0.012 0.002 0.000 0.000
 1000  0.1694  0.035  0.0304  1.000 0.208 0.514 0.034 0.002 0.000 0.000 0.000
30 BC50(rvm) Black C, RH=50 (n@550=1.75-.44i log-norm: r_g=.02um/sigma=1.6)
  200  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  300  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  400  0.6229  0.035  0.1935  1.000 0.742 0.658 0.167 0.042 0.010 0.002 0.001
  600  0.3282  0.035  0.1005  1.000 0.457 0.561 0.083 0.012 0.002 0.000 0.000
 1000  0.1694  0.035  0.0304  1.000 0.208 0.514 0.034 0.002 0.000 0.000 0.000
31 BC70(rvm) Black C, RH=70 (n@550=1.75-.44i log-norm: r_g=.02um/sigma=1.6)
  200  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  300  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  400  0.6229  0.035  0.1935  1.000 0.742 0.658 0.167 0.042 0.010 0.002 0.001
  600  0.3282  0.035  0.1005  1.000 0.457 0.561 0.083 0.012 0.002 0.000 0.000
 1000  0.1694  0.035  0.0304  1.000 0.208 0.514 0.034 0.002 0.000 0.000 0.000
32 BC80(rvm) Black C, RH=80 (n@550=1.57-.25i log-norm: r_g=.02um/sigma=1.6)
  200  0.8137  0.042  0.3081  1.000 1.234 0.995 0.443 0.179 0.066 0.025 0.010
  300  0.8137  0.042  0.3081  1.000 1.234 0.995 0.443 0.179 0.066 0.025 0.010
  400  0.5268  0.042  0.2346  1.000 0.941 0.782 0.261 0.081 0.024 0.007 0.002
  600  0.2744  0.042  0.1306  1.000 0.581 0.611 0.124 0.024 0.005 0.001 0.000
 1000  0.1397  0.042  0.0423  1.000 0.268 0.526 0.049 0.004 0.000 0.000 0.000
33 BC90(rvm) Black C, RH=90 (n@550=1.48-.16i log-norm: r_g=.02um/sigma=1.6)
  200  0.7281  0.049  0.3790  1.000 1.442 1.211 0.629 0.293 0.125 0.054 0.023
  300  0.7281  0.049  0.3790  1.000 1.442 1.211 0.629 0.293 0.125 0.054 0.023
  400  0.4607  0.049  0.3004  1.000 1.124 0.923 0.373 0.137 0.047 0.017 0.006
  600  0.2321  0.049  0.1809  1.000 0.710 0.674 0.173 0.041 0.010 0.003 0.001
 1000  0.1137  0.049  0.0637  1.000 0.335 0.542 0.067 0.008 0.001 0.000 0.000
34 BC95(rvm) Black C, RH=95 (n@550=1.45-.13i log-norm: r_g=.02um/sigma=1.6)
  200  0.7045  0.052  0.4207  1.000 1.531 1.317 0.727 0.359 0.163 0.074 0.033
  300  0.7045  0.052  0.4207  1.000 1.531 1.317 0.727 0.359 0.163 0.074 0.033
  400  0.4397  0.052  0.3407  1.000 1.208 0.998 0.434 0.171 0.063 0.024 0.009
  600  0.2169  0.052  0.2138  1.000 0.775 0.709 0.201 0.052 0.013 0.004 0.001
 1000  0.1034  0.052  0.0791  1.000 0.371 0.552 0.077 0.010 0.001 0.000 0.000
35 BC99(rvm) Black C, RH=99 (n@550=1.39-.06i log-norm: r_g=.02um/sigma=1.6)
  200  0.7031  0.066  0.5963  1.000 1.812 1.715 1.134 0.670 0.362 0.192 0.100
  300  0.7031  0.066  0.5963  1.000 1.812 1.715 1.134 0.670 0.362 0.192 0.100
  400  0.4181  0.066  0.5233  1.000 1.500 1.304 0.706 0.345 0.155 0.070 0.031
  600  0.1882  0.066  0.3856  1.000 1.026 0.876 0.331 0.114 0.037 0.013 0.004
 1000  0.0776  0.066  0.1792  1.000 0.526 0.605 0.122 0.023 0.004 0.001 0.000
36 OC00(rvm) Organic C, RH=00 (n@550=1.53-.006i log-norm: r_g=.07um/sigma=1.6)
  200  2.4567  0.127  0.9590  1.000 2.050 2.314 1.944 1.498 1.053 0.721 0.470
  300  2.4567  0.127  0.9590  1.000 2.050 2.314 1.944 1.498 1.053 0.721 0.470
  400  1.7461  0.127  0.9744  1.000 1.950 2.020 1.529 1.049 0.648 0.396 0.224
  600  0.8395  0.127  0.9639  1.000 1.716 1.545 0.948 0.533 0.263 0.132 0.057
 1000  0.2405  0.127  0.8509  1.000 1.226 0.978 0.386 0.135 0.035 0.008 0.001
37 OC50(rvm) Organic C, RH=50 (n@550=1.46-.004i log-norm: r_g=.08um/sigma=1.6)
  200  2.3664  0.139  0.9709  1.000 2.157 2.549 2.263 1.833 1.360 0.969 0.672
  300  2.3664  0.139  0.9709  1.000 2.157 2.549 2.263 1.833 1.360 0.969 0.672
  400  1.6538  0.139  0.9816  1.000 2.062 2.254 1.820 1.328 0.878 0.564 0.346
  600  0.7904  0.139  0.9732  1.000 1.821 1.739 1.154 0.699 0.378 0.204 0.103
 1000  0.2297  0.139  0.8863  1.000 1.323 1.100 0.499 0.207 0.072 0.024 0.006
38 OC70(rvm) Organic C, RH=70 (n@550=1.44-.003i log-norm: r_g=.08um/sigma=1.6)
  200  2.3617  0.144  0.9747  1.000 2.191 2.630 2.380 1.964 1.486 1.077 0.761
  300  2.3617  0.144  0.9747  1.000 2.191 2.630 2.380 1.964 1.486 1.077 0.761
  400  1.6499  0.144  0.9839  1.000 2.100 2.340 1.933 1.443 0.978 0.641 0.403
  600  0.7916  0.144  0.9766  1.000 1.862 1.815 1.241 0.772 0.430 0.239 0.125
 1000  0.2319  0.144  0.9001  1.000 1.365 1.151 0.547 0.239 0.090 0.033 0.010
39 OC80(rvm) Organic C, RH=80 (n@550=1.43-.003i log-norm: r_g=.09um/sigma=1.6)
  200  2.3693  0.149  0.9775  1.000 2.217 2.695 2.476 2.074 1.594 1.172 0.841
  300  2.3693  0.149  0.9775  1.000 2.217 2.695 2.476 2.074 1.594 1.172 0.841
  400  1.6588  0.149  0.9857  1.000 2.130 2.410 2.029 1.542 1.066 0.711 0.456
  600  0.8003  0.149  0.9792  1.000 1.896 1.880 1.317 0.838 0.478 0.271 0.145
 1000  0.2364  0.149  0.9111  1.000 1.404 1.196 0.590 0.268 0.107 0.043 0.015
40 OC90(rvm) Organic C, RH=90 (n@550=1.41-.002i log-norm: r_g=.09um/sigma=1.6)
  200  2.4065  0.159  0.9818  1.000 2.259 2.802 2.642 2.270 1.793 1.353 0.997
  300  2.4065  0.159  0.9818  1.000 2.259 2.802 2.642 2.270 1.793 1.353 0.997
  400  1.7001  0.159  0.9885  1.000 2.181 2.532 2.202 1.728 1.235 0.849 0.563
  600  0.8328  0.159  0.9834  1.000 1.958 2.000 1.461 0.967 0.576 0.339 0.189
 1000  0.2506  0.159  0.9295  1.000 1.476 1.284 0.675 0.326 0.141 0.062 0.025
41 OC95(rvm) Organic C, RH=95 (n@550=1.39-.002i log-norm: r_g=.10um/sigma=1.6)
  200  2.4733  0.171  0.9856  1.000 2.296 2.906 2.808 2.476 2.009 1.558 1.180
  300  2.4733  0.171  0.9856  1.000 2.296 2.906 2.808 2.476 2.009 1.558 1.180
  400  1.7758  0.171  0.9910  1.000 2.229 2.655 2.386 1.933 1.429 1.014 0.696
  600  0.8901  0.171  0.9872  1.000 2.022 2.130 1.627 1.122 0.698 0.426 0.248
 1000  0.2747  0.171  0.9464  1.000 1.558 1.387 0.776 0.399 0.185 0.087 0.039
42 OC99(rvm) Organic C, RH=99 (n@550=1.36-.001i log-norm: r_g=.12um/sigma=1.6)
  200  2.6732  0.203  0.9913  1.000 2.354 3.089 3.121 2.890 2.475 2.026 1.625
  300  2.6732  0.203  0.9913  1.000 2.354 3.089 3.121 2.890 2.475 2.026 1.625
  400  2.0282  0.203  0.9948  1.000 2.316 2.896 2.769 2.389 1.891 1.431 1.049
  600  1.0918  0.203  0.9930  1.000 2.152 2.419 2.018 1.513 1.030 0.680 0.430
 1000  0.3631  0.203  0.9722  1.000 1.743 1.645 1.045 0.604 0.316 0.166 0.083
43 SSa00(rvm) Sea Salt (accum), RH=00 (n@550=1.50 log-norm: r=.09um/sigma=1.5)
  200  2.5412  0.129  1.0000  1.000 2.074 2.361 1.984 1.505 1.026 0.672 0.055
  300  2.5412  0.129  1.0000  1.000 2.074 2.361 1.984 1.505 1.026 0.672 0.055
  400  1.6772  0.129  1.0000  1.000 1.974 2.025 1.499 0.989 0.575 0.051 0.023
  600  0.7067  0.129  1.0000  1.000 1.677 1.457 0.821 0.093 0.033 0.013 0.004
 1000  0.1570  0.129  0.9979  1.000 1.075 0.866 0.086 0.021 0.005 0.001 0.000
44 SSa50(rvm) Sea Salt (accum), RH=50 (n@550=1.37 log-norm: r=.14um/sigma=1.5)
  200  2.9302  0.207  1.0000  1.000 2.349 3.097 3.138 2.908 2.481 2.006 1.581
  300  2.9302  0.207  1.0000  1.000 2.349 3.097 3.138 2.908 2.481 2.006 1.581
  400  2.2339  0.207  1.0000  1.000 2.316 2.893 2.749 2.338 1.807 1.323 0.928
  600  1.1660  0.207  1.0000  1.000 2.135 2.343 1.878 1.335 0.844 0.079 0.039
 1000  0.3550  0.207  0.9996  1.000 1.660 1.475 0.836 0.094 0.034 0.013 0.005
45 SSa70(rvm) Sea Salt (accum), RH=70 (n@550=1.36 log-norm: r=.15um/sigma=1.5)
  200  3.0398  0.233  1.0000  1.000 2.375 3.195 3.318 3.173 2.807 2.362 1.944
  300  3.0398  0.233  1.0000  1.000 2.375 3.195 3.318 3.173 2.807 2.362 1.944
  400  2.4455  0.233  1.0000  1.000 2.364 3.044 3.011 2.675 2.173 1.670 1.235
  600  1.3697  0.233  1.0000  1.000 2.217 2.551 2.180 1.650 1.119 0.727 0.060
 1000  0.4508  0.233  0.9997  1.000 1.798 1.678 1.047 0.580 0.051 0.021 0.008
46 SSa80(rvm) Sea Salt (accum), RH=80 (n@550=1.35 log-norm: r=.17um/sigma=1.5)
  200  3.1035  0.256  1.0000  1.000 2.386 3.251 3.427 3.349 3.039 2.631 2.235
  300  3.1035  0.256  1.0000  1.000 2.386 3.251 3.427 3.349 3.039 2.631 2.235
  400  2.6193  0.256  1.0000  1.000 2.394 3.146 3.196 2.928 2.464 1.962 1.509
  600  1.5557  0.256  1.0000  1.000 2.274 2.709 2.424 1.923 1.374 0.935 0.081
 1000  0.5476  0.256  0.9998  1.000 1.902 1.851 1.241 0.738 0.070 0.031 0.013
47 SSa90(rvm) Sea Salt (accum), RH=90 (n@550=1.34 log-norm: r=.20um/sigma=1.5)
  200  3.1322  0.306  1.0000  1.000 2.382 3.305 3.542 3.574 3.369 3.059 2.741
  300  3.1322  0.306  1.0000  1.000 2.382 3.305 3.542 3.574 3.369 3.059 2.741
  400  2.9072  0.306  1.0000  1.000 2.426 3.284 3.460 3.322 2.952 2.489 2.042
  600  1.9502  0.306  1.0000  1.000 2.358 2.965 2.849 2.437 1.894 1.395 0.982
