dust RRTMG LUT interpolated from GADS (DAR 09/2013)
V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry   GamA    GamB       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
 6968.6   00  1.4646 -1.067e-01  0.250  0.900    0.20  0.0506  0.060  0.253  0.015  0.012  1.000  0.034  0.500  0.007  0.000  0.000  0.000  0.000
 6097.6   00  1.4354 -6.038e-02  0.250  0.900    0.20  0.0348  0.041  0.253  0.027  0.014  1.000  0.044  0.500  0.008  0.000  0.000  0.000  0.000
 5154.6   00  1.4734 -2.312e-02  0.250  0.900    0.20  0.0172  0.020  0.253  0.123  0.021  1.000  0.063  0.501  0.012  0.000  0.000  0.000  0.000
 4618.9   00  1.4966 -1.028e-02  0.250  0.900    0.20  0.0111  0.013  0.253  0.317  0.026  1.000  0.079  0.501  0.015  0.000  0.000  0.000  0.000
 4319.7   00  1.5022 -6.666e-03  0.250  0.900    0.20  0.0098  0.011  0.253  0.466  0.030  1.000  0.090  0.501  0.018  0.000  0.000  0.000  0.000
 4016.1   00  1.5002 -6.515e-03  0.250  0.900    0.20  0.0118  0.014  0.253  0.526  0.035  1.000  0.104  0.502  0.020  0.000  0.000  0.000  0.000
 3418.8   00  1.5103 -1.895e-02  0.250  0.900    0.20  0.0319  0.038  0.253  0.386  0.048  1.000  0.144  0.504  0.027  0.001  0.000  0.000  0.000
 3444.7   00  1.5104 -1.870e-02  0.250  0.900    0.20  0.0311  0.037  0.253  0.385  0.047  1.000  0.141  0.504  0.026  0.001  0.000  0.000  0.000
 2777.0   00  1.5228 -3.478e-02  0.250  0.900    0.20  0.0737  0.087  0.253  0.420  0.072  1.000  0.218  0.510  0.041  0.001  0.000  0.000  0.000
 2320.2   00  1.5226 -7.818e-03  0.250  0.900    0.20  0.0751  0.089  0.253  0.784  0.105  1.000  0.313  0.519  0.058  0.003  0.000  0.000  0.000
 2044.2   00  1.5294 -7.515e-03  0.250  0.900    0.20  0.1163  0.138  0.253  0.865  0.136  1.000  0.406  0.531  0.074  0.005  0.000  0.000  0.000
 1778.4   00  1.5301 -6.588e-03  0.250  0.900    0.20  0.1863  0.221  0.253  0.914  0.181  1.000  0.542  0.555  0.098  0.008  0.000  0.000  0.000
 1455.2   00  1.5300 -5.847e-03  0.250  0.900    0.20  0.3579  0.424  0.253  0.946  0.281  1.000  0.842  0.629  0.151  0.019  0.001  0.000  0.000
 1270.3   00  1.5300 -5.362e-03  0.250  0.900    0.20  0.5373  0.638  0.253  0.959  0.382  1.000  1.145  0.742  0.209  0.035  0.004  0.000  0.000
  944.3   00  1.5300 -2.757e-03  0.250  0.900    0.20  1.3070  1.551  0.253  0.985  0.588  1.000  1.765  1.214  0.432  0.124  0.022  0.003  0.000
  693.5   00  1.5294 -4.138e-03  0.250  0.900    0.20  2.4695  2.931  0.253  0.982  0.670  1.000  2.010  1.979  1.326  0.640  0.172  0.039  0.007
  527.1   00  1.5598 -1.634e-03  0.250  0.900    0.20  3.7853  4.492  0.253  0.993  0.707  1.000  2.123  2.550  2.255  1.614  0.964  0.449  0.087
  399.8   00  1.5800 -3.619e-03  0.250  0.900    0.20  3.9654  4.706  0.253  0.980  0.687  1.000  2.060  2.715  2.659  2.517  2.166  1.595  1.029
  329.1   00  1.6010 -5.361e-03  0.250  0.900    0.20  3.1002  3.679  0.253  0.951  0.593  1.000  1.780  2.397  2.127  2.378  2.162  2.116  1.824
  229.8   00  1.5191 -3.320e-02  0.250  0.900    0.20  2.4577  2.917  0.253  0.677  0.687  1.000  2.062  2.746  2.822  3.158  3.270  3.416  3.458
 7082.2   00  1.4680 -1.212e-01  0.250  0.900    0.20  0.0570  0.068  0.253  0.012  0.011  1.000  0.033  0.500  0.006  0.000  0.000  0.000  0.000
  300.0   00  1.6000 -8.701e-03  0.400  0.900    0.20  2.6071  1.943  0.402  0.862  0.730  1.000  2.190  3.255  3.624  4.518  4.572  5.092  4.820
  400.0   00  1.5800 -3.600e-03  0.400  0.900    0.20  2.1923  1.634  0.402  0.941  0.506  1.000  1.517  2.098  1.515  2.102  1.809  2.234  2.079
  440.0   00  1.5756 -2.759e-03  0.400  0.900    0.20  2.4643  1.836  0.402  0.963  0.530  1.000  1.590  2.156  1.647  2.059  1.860  2.105  2.030
  500.0   00  1.5640 -1.800e-03  0.400  0.900    0.20  3.1631  2.358  0.402  0.984  0.618  1.000  1.855  2.515  2.299  2.518  2.380  2.302  2.102
  550.0   00  1.5580 -1.400e-03  0.400  0.900    0.20  3.6424  2.715  0.402  0.990  0.668  1.000  2.005  2.702  2.636  2.714  2.500  2.179  1.787
  600.0   00  1.5530 -1.100e-03  0.400  0.900    0.20  3.9815  2.968  0.402  0.993  0.695  1.000  2.085  2.791  2.764  2.694  2.379  1.855  1.308
  675.0   00  1.5278 -4.597e-03  0.400  0.900    0.20  4.0510  3.020  0.402  0.978  0.734  1.000  2.203  2.865  2.822  2.511  1.984  1.311  0.720
  800.0   00  1.5300 -4.000e-03  0.400  0.900    0.20  3.7483  2.794  0.402  0.983  0.729  1.000  2.188  2.676  2.448  1.832  1.152  0.560  0.144
  870.0   00  1.5301 -4.265e-03  0.400  0.900    0.20  3.4340  2.560  0.402  0.982  0.715  1.000  2.146  2.522  2.144  1.433  0.753  0.337  0.077
 1000.0   00  1.5300 -1.000e-03  0.400  0.900    0.20  2.9189  2.176  0.402  0.996  0.693  1.000  2.078  2.209  1.658  0.885  0.287  0.089  0.018
 1020.0   00  1.5300 -6.722e-04  0.400  0.900    0.20  2.8462  2.122  0.402  0.997  0.689  1.000  2.065  2.159  1.588  0.825  0.250  0.071  0.014
55555.6   00  2.4200 -6.200e-01  0.400  0.900    0.20  0.0405  0.030  0.402  0.001  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   00  2.8810 -9.354e-01  0.400  0.900    0.20  0.0612  0.046  0.402  0.004  0.005  1.000  0.014  0.500  0.001  0.000  0.000  0.000  0.000
17699.1   00  1.6276 -4.238e-01  0.400  0.900    0.20  0.1099  0.082  0.402  0.002  0.005  1.000  0.014  0.500  0.002  0.000  0.000  0.000  0.000
15037.6   00  1.5047 -2.635e-01  0.400  0.900    0.20  0.0895  0.067  0.402  0.003  0.006  1.000  0.019  0.500  0.004  0.000  0.000  0.000  0.000
13157.9   00  2.0100 -3.089e-01  0.400  0.900    0.20  0.0788  0.059  0.402  0.013  0.011  1.000  0.032  0.500  0.005  0.000  0.000  0.000  0.000
11111.1   00  1.8279 -2.169e-01  0.400  0.900    0.20  0.0806  0.060  0.402  0.020  0.014  1.000  0.040  0.500  0.006  0.000  0.000  0.000  0.000
 9708.7   00  3.0062 -6.774e-01  0.400  0.900    0.20  0.1257  0.093  0.402  0.065  0.031  1.000  0.094  0.501  0.008  0.000  0.000  0.000  0.000
 8849.6   00  1.4979 -3.619e-01  0.400  0.900    0.20  0.2148  0.160  0.402  0.013  0.018  1.000  0.054  0.501  0.010  0.000  0.000  0.000  0.000
 7782.1   00  1.2660 -9.247e-02  0.400  0.900    0.20  0.0734  0.055  0.402  0.013  0.021  1.000  0.063  0.501  0.013  0.000  0.000  0.000  0.000
 6968.6   00  1.4646 -1.067e-01  0.400  0.900    0.20  0.0865  0.065  0.402  0.056  0.028  1.000  0.086  0.501  0.017  0.000  0.000  0.000  0.000
 6097.6   00  1.4354 -6.038e-02  0.400  0.900    0.20  0.0625  0.046  0.402  0.096  0.037  1.000  0.111  0.502  0.021  0.000  0.000  0.000  0.000
 5154.6   00  1.4734 -2.312e-02  0.400  0.900    0.20  0.0392  0.029  0.402  0.346  0.053  1.000  0.157  0.505  0.030  0.001  0.000  0.000  0.000
 4618.9   00  1.4966 -1.028e-02  0.400  0.900    0.20  0.0358  0.026  0.402  0.630  0.065  1.000  0.197  0.507  0.037  0.001  0.000  0.000  0.000
 4319.7   00  1.5022 -6.666e-03  0.400  0.900    0.20  0.0392  0.029  0.402  0.762  0.075  1.000  0.226  0.510  0.042  0.001  0.000  0.000  0.000
 4016.1   00  1.5002 -6.515e-03  0.400  0.900    0.20  0.0498  0.037  0.402  0.799  0.087  1.000  0.261  0.513  0.049  0.002  0.000  0.000  0.000
 3418.8   00  1.5103 -1.895e-02  0.400  0.900    0.20  0.1132  0.084  0.402  0.684  0.121  1.000  0.364  0.525  0.067  0.004  0.000  0.000  0.000
 3444.7   00  1.5104 -1.870e-02  0.400  0.900    0.20  0.1101  0.082  0.402  0.683  0.119  1.000  0.358  0.524  0.066  0.004  0.000  0.000  0.000
 2777.0   00  1.5228 -3.478e-02  0.400  0.900    0.20  0.2565  0.191  0.402  0.672  0.188  1.000  0.564  0.560  0.102  0.010  0.000  0.000  0.000
 2320.2   00  1.5226 -7.818e-03  0.400  0.900    0.20  0.3580  0.267  0.402  0.921  0.278  1.000  0.833  0.627  0.149  0.019  0.002  0.000  0.000
 2044.2   00  1.5294 -7.515e-03  0.400  0.900    0.20  0.5286  0.394  0.402  0.942  0.371  1.000  1.113  0.730  0.202  0.033  0.003  0.000  0.000
 1778.4   00  1.5301 -6.588e-03  0.400  0.900    0.20  0.7908  0.590  0.402  0.956  0.494  1.000  1.482  0.925  0.286  0.060  0.008  0.001  0.000
 1455.2   00  1.5300 -5.847e-03  0.400  0.900    0.20  1.4160  1.055  0.402  0.969  0.597  1.000  1.790  1.270  0.472  0.146  0.029  0.005  0.000
 1270.3   00  1.5300 -5.362e-03  0.400  0.900    0.20  1.8859  1.405  0.402  0.975  0.622  1.000  1.865  1.552  0.752  0.300  0.072  0.013  0.002
  944.3   00  1.5300 -2.757e-03  0.400  0.900    0.20  3.1134  2.321  0.402  0.988  0.702  1.000  2.106  2.342  1.846  1.074  0.426  0.161  0.035
  693.5   00  1.5294 -4.138e-03  0.400  0.900    0.20  4.0345  3.008  0.402  0.980  0.733  1.000  2.198  2.837  2.761  2.398  1.830  1.159  0.591
  527.1   00  1.5598 -1.634e-03  0.400  0.900    0.20  3.4405  2.565  0.402  0.988  0.649  1.000  1.949  2.634  2.515  2.657  2.484  2.269  1.965
  399.8   00  1.5800 -3.619e-03  0.400  0.900    0.20  2.1918  1.634  0.402  0.941  0.506  1.000  1.518  2.100  1.519  2.107  1.814  2.240  2.084
  329.1   00  1.6010 -5.361e-03  0.400  0.900    0.20  2.4367  1.816  0.402  0.898  0.652  1.000  1.956  2.891  2.947  3.826  3.700  4.225  3.845
  229.8   00  1.5191 -3.320e-02  0.400  0.900    0.20  2.5004  1.864  0.402  0.625  0.858  1.000  2.572  3.881  4.888  5.877  6.539  7.099  7.385
 7082.2   00  1.4680 -1.212e-01  0.400  0.900    0.20  0.0970  0.072  0.402  0.045  0.028  1.000  0.083  0.501  0.016  0.000  0.000  0.000  0.000
  300.0   00  1.6000 -8.701e-03  0.800  0.900    0.20  2.3459  0.860  0.818  0.784  0.804  1.000  2.411  3.560  4.213  5.255  5.832  6.783  7.227
  400.0   00  1.5800 -3.600e-03  0.800  0.900    0.20  2.3417  0.858  0.818  0.907  0.741  1.000  2.223  3.180  3.372  4.151  4.298  5.044  5.206
  440.0   00  1.5756 -2.759e-03  0.800  0.900    0.20  2.3871  0.875  0.818  0.930  0.735  1.000  2.207  3.164  3.323  4.040  4.041  4.653  4.644
  500.0   00  1.5640 -1.800e-03  0.800  0.900    0.20  2.5758  0.944  0.818  0.960  0.734  1.000  2.201  3.248  3.495  4.317  4.295  4.839  4.667
  550.0   00  1.5580 -1.400e-03  0.800  0.900    0.20  2.6226  0.961  0.818  0.971  0.714  1.000  2.142  3.213  3.457  4.381  4.388  4.957  4.747
  600.0   00  1.5530 -1.100e-03  0.800  0.900    0.20  2.4688  0.905  0.818  0.978  0.662  1.000  1.987  2.992  3.061  4.004  3.935  4.526  4.272
  675.0   00  1.5278 -4.597e-03  0.800  0.900    0.20  2.1222  0.778  0.818  0.912  0.573  1.000  1.721  2.439  2.093  2.766  2.625  3.074  3.028
  800.0   00  1.5300 -4.000e-03  0.800  0.900    0.20  2.3297  0.854  0.818  0.941  0.557  1.000  1.672  2.247  1.787  2.165  2.027  2.287  2.397
  870.0   00  1.5301 -4.265e-03  0.800  0.900    0.20  2.6650  0.977  0.818  0.951  0.600  1.000  1.800  2.421  2.123  2.406  2.326  2.444  2.489
 1000.0   00  1.5300 -1.000e-03  0.800  0.900    0.20  3.3793  1.239  0.818  0.992  0.662  1.000  1.986  2.705  2.617  2.795  2.689  2.532  2.295
 1020.0   00  1.5300 -6.722e-04  0.800  0.900    0.20  3.4723  1.273  0.818  0.996  0.669  1.000  2.008  2.735  2.667  2.828  2.704  2.504  2.224
55555.6   00  2.4200 -6.200e-01  0.800  0.900    0.20  0.0852  0.031  0.818  0.007  0.007  1.000  0.022  0.500  0.003  0.000  0.000  0.000  0.000
23529.4   00  2.8810 -9.354e-01  0.800  0.900    0.20  0.1396  0.051  0.818  0.029  0.020  1.000  0.058  0.500  0.005  0.000  0.000  0.000  0.000
17699.1   00  1.6276 -4.238e-01  0.800  0.900    0.20  0.2366  0.087  0.818  0.016  0.019  1.000  0.058  0.501  0.010  0.000  0.000  0.000  0.000
15037.6   00  1.5047 -2.635e-01  0.800  0.900    0.20  0.1941  0.071  0.818  0.023  0.026  1.000  0.077  0.501  0.015  0.000  0.000  0.000  0.000
13157.9   00  2.0100 -3.089e-01  0.800  0.900    0.20  0.1995  0.073  0.818  0.092  0.044  1.000  0.131  0.503  0.018  0.000  0.000  0.000  0.000
11111.1   00  1.8279 -2.169e-01  0.800  0.900    0.20  0.2115  0.078  0.818  0.140  0.056  1.000  0.166  0.505  0.025  0.001  0.000  0.000  0.000
 9708.7   00  3.0062 -6.774e-01  0.800  0.900    0.20  0.5726  0.209  0.818  0.290  0.136  1.000  0.408  0.514  0.029  0.001  0.000  0.000  0.000
 8849.6   00  1.4979 -3.619e-01  0.800  0.900    0.20  0.5138  0.188  0.818  0.086  0.075  1.000  0.226  0.509  0.042  0.001  0.000  0.000  0.000
 7782.1   00  1.2660 -9.247e-02  0.800  0.900    0.20  0.1745  0.064  0.818  0.084  0.088  1.000  0.265  0.515  0.057  0.003  0.000  0.000  0.000
 6968.6   00  1.4646 -1.067e-01  0.800  0.900    0.20  0.2551  0.093  0.818  0.280  0.120  1.000  0.358  0.525  0.068  0.004  0.000  0.000  0.000
 6097.6   00  1.4354 -6.038e-02  0.800  0.900    0.20  0.2276  0.084  0.818  0.407  0.155  1.000  0.465  0.542  0.090  0.006  0.000  0.000  0.000
 5154.6   00  1.4734 -2.312e-02  0.800  0.900    0.20  0.2634  0.097  0.818  0.751  0.223  1.000  0.671  0.586  0.126  0.013  0.001  0.000  0.000
 4618.9   00  1.4966 -1.028e-02  0.800  0.900    0.20  0.3498  0.128  0.818  0.899  0.287  1.000  0.861  0.641  0.159  0.021  0.002  0.000  0.000
 4319.7   00  1.5022 -6.666e-03  0.800  0.900    0.20  0.4219  0.154  0.818  0.940  0.334  1.000  1.002  0.691  0.186  0.027  0.003  0.000  0.000
 4016.1   00  1.5002 -6.515e-03  0.800  0.900    0.20  0.5181  0.190  0.818  0.946  0.392  1.000  1.175  0.765  0.223  0.038  0.004  0.000  0.000
 3418.8   00  1.5103 -1.895e-02  0.800  0.900    0.20  0.9163  0.336  0.818  0.884  0.530  1.000  1.591  1.018  0.336  0.080  0.011  0.001  0.000
 3444.7   00  1.5104 -1.870e-02  0.800  0.900    0.20  0.8961  0.328  0.818  0.884  0.525  1.000  1.575  1.004  0.330  0.077  0.011  0.001  0.000
 2777.0   00  1.5228 -3.478e-02  0.800  0.900    0.20  1.6668  0.611  0.818  0.844  0.621  1.000  1.861  1.421  0.618  0.220  0.053  0.011  0.001
 2320.2   00  1.5226 -7.818e-03  0.800  0.900    0.20  2.2681  0.832  0.818  0.965  0.659  1.000  1.975  1.854  1.126  0.502  0.111  0.015  0.003
 2044.2   00  1.5294 -7.515e-03  0.800  0.900    0.20  2.8444  1.043  0.818  0.969  0.691  1.000  2.073  2.194  1.619  0.856  0.277  0.084  0.018
 1778.4   00  1.5301 -6.588e-03  0.800  0.900    0.20  3.4252  1.256  0.818  0.972  0.720  1.000  2.160  2.527  2.155  1.426  0.743  0.327  0.074
 1455.2   00  1.5300 -5.847e-03  0.800  0.900    0.20  3.9725  1.456  0.818  0.973  0.735  1.000  2.205  2.808  2.705  2.256  1.642  0.964  0.426
 1270.3   00  1.5300 -5.362e-03  0.800  0.900    0.20  4.0532  1.486  0.818  0.971  0.729  1.000  2.188  2.898  2.926  2.738  2.323  1.660  1.044
  944.3   00  1.5300 -2.757e-03  0.800  0.900    0.20  3.0847  1.131  0.818  0.972  0.640  1.000  1.919  2.605  2.451  2.668  2.599  2.556  2.444
  693.5   00  1.5294 -4.138e-03  0.800  0.900    0.20  2.1103  0.774  0.818  0.922  0.558  1.000  1.676  2.347  1.929  2.551  2.375  2.808  2.772
